case_id,comment_count_ref,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v001,0,1509,179,0.11889015811374236,0.11862160371106693,0
v002,0,455,70,0.15415336875586225,0.15384615384615385,0
v003,0,412,69,0.16943178668191747,0.16747572815533981,0
v004,23425,11736,844,0.07228133247270899,0.07191547375596455,0
v005,0,54,6,0.11141004926806393,0.1111111111111111,0
v006,26,25,1,0.04991396279554465,0.04,0
v007,0,119,22,0.18443044916784856,0.18487394957983194,0
v008,0,6559,948,0.1446947580036171,0.1445342277786248,0
v009,0,4069,1199,0.29449666540379565,0.29466699434750554,0
v010,0,615,70,0.11332312723919508,0.11382113821138211,0
v011,10480,5317,743,0.14092791006716732,0.13974045514387812,0
v012,0,59,9,0.15261821218858024,0.15254237288135594,0
v013,0,532,116,0.2184652611146354,0.21804511278195488,0
v014,0,237,40,0.16871828200266525,0.16877637130801687,0
v015,0,1089,229,0.20997181674095727,0.21028466483011937,0
v016,0,346,3,0.00913838119847657,0.008670520231213872,0
v017,45,45,1,0.022278093357292365,0.022222222222222223,0
v018,0,1045,228,0.218385725766788,0.21818181818181817,0
v019,3984,3984,612,0.15362568824881478,0.1536144578313253,0
v020,0,1349,128,0.09555941378364041,0.09488510007412898,0
v021,0,5,0,0.00030465326126432045,0.0,0
v022,36,32,3,0.09412404879958558,0.09375,0
v023,0,377,106,0.2812676113594474,0.28116710875331563,0
v024,0,1520,281,0.18529935921801075,0.18486842105263157,0
v025,0,85,0,0.0022141643217764794,0.0,0
v026,189,164,21,0.12828762807258476,0.12804878048780488,0
v027,0,1743,294,0.16865482596239983,0.1686746987951807,0
v028,0,176,29,0.1645486899556917,0.16477272727272727,0
v029,7703,7703,1294,0.1681156726542012,0.16798649876671426,0
v030,0,3399,502,0.1479982657354848,0.1476904972050603,0
v031,0,1027,184,0.17993984141181107,0.17916260954235638,0
v032,1742,1742,284,0.16292508720856122,0.16303099885189437,0
v033,0,1188,83,0.07119948927335003,0.06986531986531987,0
v034,200,200,28,0.14306892063079432,0.14,0
v035,39,38,1,0.02639021507485794,0.02631578947368421,0
v036,2496,2496,405,0.16261864229869763,0.1622596153846154,0
v037,1409,1409,105,0.07575380984025855,0.0745209368346345,0
v038,6523,6523,771,0.1188436490780889,0.11819714855128008,0
v039,10949,10949,1430,0.13072337769450482,0.13060553475203215,0
v040,7079,7079,782,0.11078548007456016,0.11046758016669021,0
v041,0,9073,706,0.07826593229215936,0.07781329218560565,0
v042,0,2253,474,0.210290360595231,0.2103861517976032,0
v043,0,150,11,0.07338304618717909,0.07333333333333333,0
v044,3664,3664,533,0.14602132685354957,0.14546943231441048,0
v045,0,840,75,0.0898621647700782,0.08928571428571429,0
v046,0,40,3,0.07562118672503856,0.075,0
v047,0,10115,444,0.04412159823096789,0.043895205140879884,0
v048,0,764,118,0.1550270568107298,0.1544502617801047,0
v049,0,563,37,0.0677807615311055,0.06571936056838366,0
v050,0,1268,113,0.09006103200065547,0.08911671924290221,0
v051,9353,9353,1454,0.15627753978404774,0.15545814177269326,0
v052,0,1774,328,0.1848875853458795,0.18489289740698986,0
v053,2685,2685,391,0.14591977291352046,0.14562383612662944,0
v054,3816,1487,239,0.16081211723194513,0.16072629455279086,0
v055,0,43,1,0.023849887864767074,0.023255813953488372,0
v056,63,63,5,0.08106923761552602,0.07936507936507936,0
v057,0,9,0,9.005687590817818e-05,0.0,0
v058,1709,1709,311,0.18259644101116804,0.18197776477472205,0
v059,0,3838,472,0.12347219132211822,0.12298071912454403,0
v060,0,276,24,0.08755287135436843,0.08695652173913043,0
v061,617,617,20,0.03279919806737814,0.03241491085899514,0
v062,0,16,0,0.0004282642767066136,0.0,0
v063,5595,4796,918,0.19189996661417968,0.19140950792326938,0
v064,90,88,21,0.23850095215320008,0.23863636363636365,0
v065,2608,1020,88,0.08646877510358643,0.08627450980392157,0
v066,4379,4379,683,0.15680424913139626,0.15597168303265585,0
v067,18,13,1,0.10016239058537534,0.07692307692307693,0
v068,0,2900,452,0.15570525142574454,0.15586206896551724,0
v069,634,634,71,0.11348780104124999,0.11198738170347003,0
v070,0,44,2,0.045749547295517085,0.045454545454545456,0
v071,0,145,8,0.05541964377906848,0.05517241379310345,0
v072,0,2087,371,0.17766438118006914,0.17776712985146143,0
v073,0,1640,355,0.2161847565142502,0.21646341463414634,0
v074,0,1889,129,0.06878657387013894,0.06829010058231869,0
v075,0,150,32,0.21320913485067042,0.21333333333333335,0
v076,6145,6145,664,0.1082884857913067,0.1080553295362083,0
v077,0,2172,495,0.22821098499263884,0.22790055248618785,0
v078,0,339,16,0.04765879326692908,0.0471976401179941,0
v079,0,1361,197,0.14553014910051762,0.14474650991917706,0
v080,0,365,27,0.07382701381796584,0.07397260273972603,0
v081,0,496,8,0.016310936572425258,0.016129032258064516,0
v082,394,394,66,0.16996015372109846,0.16751269035532995,0
v083,0,615,16,0.026573559158909698,0.026016260162601626,0
v084,0,200,7,0.03511830764795377,0.035,0
v085,1347,50,10,0.20036875915786367,0.2,0
v086,0,569,82,0.14512659930415123,0.14411247803163443,0
v087,0,18,0,0.00031321479723879346,0.0,0
v088,719,560,107,0.1916884203648806,0.19107142857142856,0
v089,0,1584,242,0.1531908567722444,0.1527777777777778,0
v090,0,343,58,0.16899024676447338,0.16909620991253643,0
v091,0,3,0,0.00042257117820554413,0.0,0
v092,1393,1393,220,0.15785626136821598,0.15793251974156497,0
v093,28,28,1,0.03686693385472089,0.03571428571428571,0
v094,0,441,69,0.15739924460492752,0.1564625850340136,0
v095,0,3346,188,0.05659452691377784,0.056186491332934844,0
