case_id,platform,platform_video_id,video_url,author_name,title,like_count,follower_count,published_at,comment_count,visual_main_arousal_label,visual_main_arousal_share,text_arousal_label,text_arousal_confidence,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v001,douyin,7582558309317643520,https://www.douyin.com/video/7582558309317643520,壹格律师,沉浸式观看，违法记录封存 #深度理性计划 #抖来普法2025 #违法记录封存 #违法记录 #青年大学习,54688,69000,2025-12-11T03:19:09+00:00,1509,Informational,0.804688,Mitigating,high,1509,179,0.11889015811374236,0.11862160371106693,0
v002,douyin,7587736919656779023,https://www.douyin.com/video/7587736919656779023,法山叔,刑辩律师解读：“吸毒封存”官方回应 #热点新闻事件 #治安管理处罚法 #刑事辩护  #律师 #法山叔,4380,57000,2025-12-25T02:14:45+00:00,455,Informational,0.571157,Mitigating,high,455,70,0.15415336875586225,0.15384615384615385,0
v003,douyin,7587492909620940041,https://www.douyin.com/video/7587492909620940041,推石头的林律师,人大法工委回应封存制度，强调管控毒品态度没改变 害怕大家误解，这次特意强调我国禁毒立场不变，我国对毒品犯罪的惩治力度未减弱。同时，治理吸毒问题的重点在戒毒，封存制度并未改变此前对戒毒、吸毒人员信息的管控。#官方正式回应吸毒记录封存 #封存制度 #禁毒 #禁毒宣传 #治安管理处罚法,5689,8547,2025-12-24T10:28:48+00:00,412,Informational,0.645299,Mitigating,high,412,69,0.16943178668191747,0.16747572815533981,0
v004,douyin,7578778676385950314,https://www.douyin.com/video/7578778676385950314,麦片是只小金毛,聊聊封存事件 #抖音知识年终大赏,2181077,2489000,2025-11-30T22:52:07+00:00,11736,Informational,0.98659,Mitigating,medium,11736,844,0.07228133247270899,0.07191547375596455,0
v005,douyin,7580569267179965750,https://www.douyin.com/video/7580569267179965750,刑事律师路俊远,吸毒记录一旦封存了是不是就没人管了 #石家庄律师 #刑事案件 #违法记录封存 #刑事律师 #抖来普法2025,2227,19000,2025-12-05T18:40:27+00:00,54,Informational,0.643275,Mitigating,high,54,6,0.11141004926806393,0.1111111111111111,0
v006,douyin,7578476473040784680,https://www.douyin.com/video/7578476473040784680,央视新闻,治安违法记录封存不是“删除记录”，记录仍完整留存于公安系统。幼师、网约车司机等关键岗位招聘，可依法查询吸毒记录。,779168,180000000,2025-11-30T03:19:32+00:00,25,Informational,0.605263,Mitigating,high,25,1,0.04991396279554465,0.04,0
v007,douyin,7580726595502099727,https://www.douyin.com/video/7580726595502099727,北京刑事律师张喜邦,吸毒记录封存”不是放任，国家严管和帮扶不会少 #北京刑事律师张喜邦 #贩毒的量刑标准是多少 #刑辩律师 #吸毒记录封存政策 #吸毒检测,2919,88000,2025-12-06T04:51:08+00:00,119,Informational,0.483254,Mitigating,high,119,22,0.18443044916784856,0.18487394957983194,0
v008,douyin,7579908468543442227,https://www.douyin.com/video/7579908468543442227,中国蓝新闻,#吸毒记录封存 的讨论还在继续。我们不是不知道封存不等于删除记录，但网友们焦虑的背后，是不希望吸毒的违法成本被降低，更是对司法公正的深切担忧。看见并尊重民众关切，倾听人们的心声，及时并做出反馈和调整，是对#良法善治 的合理期待。#吸毒 #毒品 #民生,528978,6630000,2025-12-03T23:56:12+00:00,6559,Informational,1.0,Informational,medium,6559,948,0.1446947580036171,0.1445342277786248,0
v009,douyin,7579511915378937138,https://www.douyin.com/video/7579511915378937138,云新闻(云南日报),“吸毒记录封存”引发网友热议，公众的一些核心关切，值得被关注和听见#缉毒 #云南 #禁毒,847443,2016000,2025-12-02T22:17:23+00:00,4069,Intensifying,0.833333,Intensifying,high,4069,1199,0.29449666540379565,0.29466699434750554,0
v010,douyin,7587362665106820362,https://www.douyin.com/video/7587362665106820362,小龙新说,“哪位少爷吸了”，全国人大法工委最新回应。#人大法工委回应哪位少爷吸了 #禁毒 #新治安管理处罚法,14847,46000,2025-12-24T02:02:22+00:00,615,Mitigating,0.931298,Mitigating,high,615,70,0.11332312723919508,0.11382113821138211,0
v011,douyin,7578759274223283121,https://www.douyin.com/video/7578759274223283121,第一财经,吸毒记录封存，为“少爷”开绿灯？专家解读,100689,11532000,2025-11-30T21:36:46+00:00,5317,Informational,0.5,Mitigating,high,5317,743,0.14092791006716732,0.13974045514387812,0
v012,douyin,7580176443884293422,https://www.douyin.com/video/7580176443884293422,九派新闻,12月4日，#微博通报涉吸毒记录议题违规案例：#恶意揣测吸毒记录议题账号被禁言。,131050,28603000,2025-12-04T17:16:04+00:00,59,Intensifying,0.46875,Mitigating,high,59,9,0.15261821218858024,0.15254237288135594,0
v013,douyin,7579579979429828858,https://www.douyin.com/video/7579579979429828858,大风新闻,云南日报连发10条禁毒视频后，各地文旅号也加入战斗#吸毒记录封存 #各地文旅禁毒宣传 #云南 #三生教育 #致敬缉毒警察,332420,3525000,2025-12-03T02:41:33+00:00,532,Informational,0.679739,Intensifying,high,532,116,0.2184652611146354,0.21804511278195488,0
v014,douyin,7579500380678065458,https://www.douyin.com/video/7579500380678065458,潮新闻,浙江宣传发文：“吸毒记录封存”之忧要被听见,814134,25820000,2025-12-02T21:32:39+00:00,237,Intensifying,0.655738,Intensifying,medium,237,40,0.16871828200266525,0.16877637130801687,0
v015,douyin,7579510737823960361,https://www.douyin.com/video/7579510737823960361,观察者网,侠客岛：应当直面“吸毒记录被封存”的讨论,35138,14643000,2025-12-02T22:12:57+00:00,1089,Mitigating,0.6,Mitigating,high,1089,229,0.20997181674095727,0.21028466483011937,0
v016,douyin,7587340889564007686,https://www.douyin.com/video/7587340889564007686,九派新闻,12月24日报道，#法工委回应哪位少爷吸了等言论  ：中华人民共和国公民在法律面在法律面前一律平等，立法工作不受任何特殊利益群体的不当影响。,4670,28603000,2025-12-24T00:38:03+00:00,346,Mitigating,0.452381,Mitigating,high,346,3,0.00913838119847657,0.008670520231213872,0
v017,douyin,7578002425404017946,https://www.douyin.com/video/7578002425404017946,百姓关注,2026年新规“吸毒记录等将被封存”引热议，专家称这非对特定群体保护，是可改过自新的政策。,58624,14193000,2025-11-28T20:39:51+00:00,45,Intensifying,0.692308,Mitigating,high,45,1,0.022278093357292365,0.022222222222222223,0
v018,douyin,7579550983668190474,https://www.douyin.com/video/7579550983668190474,第一财经,如果吸毒者的记录可以被封存，禁毒英雄的牺牲是否被辜负？浙江宣传：“吸毒记录封存”之忧要被听见，法治进步既需要专业的构建，也需要人心的认同！,193539,11532000,2025-12-03T00:48:59+00:00,1045,Informational,0.75,Informational,high,1045,228,0.218385725766788,0.21818181818181817,0
v019,douyin,7579434968432546929,https://www.douyin.com/video/7579434968432546929,逐浪新闻,“吸毒记录封存”之忧要被听见！,109907,27945000,2025-12-02T17:18:49+00:00,3984,Intensifying,0.5,Intensifying,medium,3984,612,0.15362568824881478,0.1536144578313253,0
v020,douyin,7582255263937695033,https://www.douyin.com/video/7582255263937695033,新闻联合播,中国如何管理吸毒人员 你了解中国相关部门是如何管理吸毒人员的吗？强制戒毒、动态管理、长期追踪管控、戒断后帮扶，这是一个复杂的体系，也是一套精密的运行系统。中国是目前禁毒法律最严格、体系最完备的国家。一部法律修订，实际上是一场关于救赎与惩罚的辩论。#禁毒 #戒毒 #吸毒人员,53161,329000,2025-12-10T07:43:39+00:00,1349,Informational,0.465035,Mitigating,high,1349,128,0.09555941378364041,0.09488510007412898,0
v021,douyin,7587273492169542939,https://www.douyin.com/video/7587273492169542939,海报新闻,关于“吸毒记录封存”等最新回应（人民日报） #热点 #热点新闻事件 #社会百态 #法律 #社会,2852,18444000,2025-12-23T20:16:18+00:00,5,Informational,1.0,Mitigating,high,5,0,0.00030465326126432045,0.0,0
v022,douyin,7577783814521731173,https://www.douyin.com/video/7577783814521731173,青春登封,我们的态度 永远是零容忍 #禁毒  #致敬缉毒警 #吸毒记录封存期限  （视频来源：@洛阳旅游 ）,98325,5535,2025-11-28T06:31:25+00:00,32,Mitigating,0.529412,Intensifying,high,32,3,0.09412404879958558,0.09375,0
v023,douyin,7585581874920787249,https://www.douyin.com/video/7585581874920787249,广州交通电台,前戒毒所所长谈吸毒记录封存： 修订后的法规在具体落地实施过程中 也应该及时回应公众关切   建议“附条件封存” 给法律“打补丁”,3062,6120000,2025-12-19T06:52:06+00:00,377,Informational,0.933333,Mitigating,medium,377,106,0.2812676113594474,0.28116710875331563,0
v024,douyin,7580666173138783522,https://www.douyin.com/video/7580666173138783522,蓝江律师,中国禁毒寸步不让！ 我国法律对吸毒人员的处罚力度 #毒品零容忍#抖来普法2025,64261,2672000,2025-12-06T00:56:35+00:00,1520,Mitigating,1.0,Mitigating,high,1520,281,0.18529935921801075,0.18486842105263157,0
v025,douyin,7579967741646408994,https://www.douyin.com/video/7579967741646408994,新闻联合播,当我们探讨“吸毒记录封存” 我们在讨论什么？ “吸毒记录封存”的本质是什么？是在一定程度上隐匿违法前科。封存记录不等于抹去罪恶，它更像是一道法治社会的精密阀门，既对屡教不改者紧锁，也给真心悔改者留一扇透着光的窗。但我们也不得不问：这道阀门能否拧紧？#禁毒 #治安管理处罚法 #云南禁毒,492749,329000,2025-12-04T03:46:23+00:00,85,Mitigating,0.53112,Intensifying,high,85,0,0.0022141643217764794,0.0,0
v026,douyin,7578419655464318592,https://www.douyin.com/video/7578419655464318592,大众新闻•半岛都市报,2026年起“吸毒记录”可被封存引发热议，专家回应（来源大河报 云南网 编辑 王春红）,216402,2842000,2025-11-29T23:38:52+00:00,164,Intensifying,0.375,Mitigating,medium,164,21,0.12828762807258476,0.12804878048780488,0
v027,douyin,7579892149106330914,https://www.douyin.com/video/7579892149106330914,郑州广播电视台,12月3日，浙江宣传发布推文《“吸毒记录封存”之忧要被听见》。文中提到:不能将公众的复杂情绪简单归结为“不懂法”“不理解法治进步”。#禁毒 #禁毒宣传 （编辑：梦缘  审核：杨琼  统筹：瑞丽）,72833,54000,2025-12-03T22:52:55+00:00,1743,Intensifying,0.588235,Mitigating,high,1743,294,0.16865482596239983,0.1686746987951807,0
v028,douyin,7587339207970983202,https://www.douyin.com/video/7587339207970983202,直新闻,12月24日，全国人大常委会法制工作委员会有关负责人对“吸毒记录封存”引起的讨论作出了说明和回应。#社会热点  #吸毒记录封存政策  #主播直说 #媒体精选计划,9183,12369000,2025-12-24T00:31:26+00:00,176,Mitigating,0.517241,Mitigating,high,176,29,0.1645486899556917,0.16477272727272727,0
v029,douyin,7579472706169591163,https://www.douyin.com/video/7579472706169591163,中国蓝新闻,最近，“吸毒记录封存”成为舆论漩涡的中心。12月3日，浙江宣传发文《 “吸毒记录封存”之忧要被听见》，公众的强烈反应，不能被简单归结为对“改过自新”等理念的否定。#禁毒 #致敬缉毒警察 #浙江宣传,310841,6630000,2025-12-02T19:45:14+00:00,7703,Informational,0.666667,Informational,high,7703,1294,0.1681156726542012,0.16798649876671426,0
v030,douyin,7579909119274253686,https://www.douyin.com/video/7579909119274253686,阿勒泰市融媒,“吸毒记录封存”之忧要被听见。对毒品犯罪零容忍！#禁毒#禁毒宣传 #打卡我的阿勒泰,91471,196000,2025-12-03T23:58:47+00:00,3399,Intensifying,0.666667,Intensifying,high,3399,502,0.1479982657354848,0.1476904972050603,0
v031,douyin,7579828028428045595,https://www.douyin.com/video/7579828028428045595,中安在线,事关“吸毒记录封存”，浙江宣传发出灵魂拷问,133952,1293000,2025-12-03T18:44:03+00:00,1027,Mitigating,0.957746,Intensifying,medium,1027,184,0.17993984141181107,0.17916260954235638,0
