"model","term","estimate","se_hc3","t_value","p_value","ci_low","ci_high"
"M1_base","(Intercept)",0.0594771038989961,0.0126890428457165,4.68728056340942,3.64874257773639e-06,0.0345417132766661,0.084412494521326
"M1_base","visual_main_arousal_label缓释",-0.0405744315465277,0.00825801144336819,-4.91334164705137,1.24524367552141e-06,-0.0568023490977376,-0.0243465139953178
"M1_base","visual_main_arousal_label煽动",-0.00930938991229751,0.0119415832387549,-0.779577525539919,0.436038751884947,-0.0327759386762921,0.014157158851697
"M1_base","text_arousal_label缓释",-0.00890029465985432,0.00862334498808516,-1.03211626951628,0.302557639998503,-0.0258461335512096,0.00804554423150091
"M1_base","text_arousal_label煽动",0.0103522702506196,0.0137944829144816,0.750464538235911,0.453357003518155,-0.0167554339385717,0.0374599744398109
"M1_base","log_comment_count",0.0132683102658344,0.00156965287090386,8.45302201001553,3.74144170623059e-16,0.0101837665415091,0.0163528539901597
"M2_extended","(Intercept)",0.0990326294586232,0.0228516111724209,4.33372634915753,1.80191636469862e-05,0.0541261408533172,0.143939118063929
"M2_extended","visual_main_arousal_label缓释",-0.0385614484737191,0.00807173341090734,-4.77734416025323,2.39260494929565e-06,-0.0544234899598546,-0.0226994069875836
"M2_extended","visual_main_arousal_label煽动",-0.0145445856301343,0.0125996797680466,-1.1543615312367,0.24895133234381,-0.0393046505404436,0.0102154792801749
"M2_extended","text_arousal_label缓释",-0.0117150266942031,0.00879192702083811,-1.33247542506174,0.18336369420464,-0.0289923454618373,0.00556229207343116
"M2_extended","text_arousal_label煽动",0.0136505411406472,0.0137702980722357,0.991303243331391,0.322058676895625,-0.013409946139953,0.0407110284212474
"M2_extended","log_comment_count",0.0129664949574649,0.00161723278520586,8.01770473371549,8.98738825671423e-15,0.00978841507972646,0.0161445748352034
"M2_extended","visual_main_arousal_share",-0.044935661630367,0.018871107689455,-2.38118834197934,0.0176628703892756,-0.0820199256689903,-0.00785139759174358
"M2_extended","text_arousal_confidencemedium",-0.0167396454725262,0.0118686935677385,-1.41040337565272,0.159096449644289,-0.0400632242100623,0.00658393326500989
