"variable","level","n","percent"
"text_arousal_label","缓释",269,0.58351409978308
"text_arousal_label","说明",114,0.247288503253796
"text_arousal_label","煽动",78,0.169197396963124
"visual_arousal_label","缓释",199,0.431670281995662
"visual_arousal_label","说明",194,0.420824295010846
"visual_arousal_label","煽动",68,0.147505422993492
"image_text_has_content","1",461,1
"publish_year_month","2025-12",364,0.789587852494577
"publish_year_month","2025-11",67,0.145336225596529
"publish_year_month","2026-01",21,0.0455531453362256
"publish_year_month","2026-03",5,0.0108459869848156
"publish_year_month","2026-02",4,0.0086767895878525
